Chinese	Nushu	Book Reference Pg		Our label 	Key		
丙辰中秋欢饮达旦	𛇛𛋙𛈌𛉩𛊧𛋡𛋥𛉄	97		2			
大醉作此篇兼怀子由	𛅻𛆍𛈱𛇠𛈐𛉿𛈝𛆑𛊢	97		1			
明月几时有把酒问青天	𛇾𛇃𛆺𛆸𛈶𛉎𛊟𛉟𛊭𛆤	97		1			
不知天上宫阙今夕是何年	𛆳𛆍𛆤𛆈𛈌𛉛𛆭𛅿𛆹𛇮𛆥	97		1			
我欲乘风归去又恐琼楼玉宇高处不胜寒	𛈻𛇄𛋙𛋆𛈘𛇂𛇁𛊩𛊝𛈰𛉚𛅷𛋂𛈫𛆳𛋐𛊨	97		1			
起舞弄清影何似在人间	𛆻𛅷𛊚𛊭𛈇𛇮𛊝𛇥𛅳𛆃	97		2			
转朱阁低绮户照无眠	𛋺𛉙𛉦𛆒𛆱𛆖𛉓𛇯𛊬	97		0			
不应有恨何事长向别时圆	𛆳𛆱𛈶𛊲𛇮𛆹𛈽𛆈𛊎𛆸𛆧	97		0			
人有悲欢离合月有阴晴圆缺此事古难全	𛅳𛈶𛊰𛊧𛊎𛈩𛇃𛈶𛆱𛊭𛆧𛉛𛇠𛆹𛇰𛈷𛈆	97		1			
但愿人长久千里共婵娟	𛉻𛋟𛅳𛈽𛆆𛆉𛉄𛈌𛊥𛊵	97		2			
蒹葭苍苍白露为霜	𛉿𛉊𛉱𛉱𛇪𛋗𛊄𛈊	98		1			
所谓伊人在水一方	𛈂𛆨𛆱𛅳𛇥𛅸𛆼𛆠	98		2			
溯洄从之道阻且长	𛈂𛇳𛋳𛆷𛋛𛊽𛊴𛈽	98		0			
溯游从之宛在水中央	𛈂𛊢𛋳𛆷𛆨𛇥𛅸𛈌𛈍	98		1			
关关雎鸠在河之洲	𛈘𛈘𛊐𛇲𛇥𛊕𛆷𛆝	99		1			
窈窕淑女君子好逑	𛊺𛉑𛊼𛆁𛊵𛆑𛇉𛆝	99		2			
参差荇菜左右流之	𛉾𛊾𛊁𛈠𛇍𛇁𛇋𛆷	99		1			
窈窕淑女寤寐求之	𛊺𛉑𛊼𛆁𛈕𛋉𛆝𛆷	99		2			
蒹葭萋萋白露未晞	𛉿𛉊𛉱𛉱𛇪𛋗𛆨𛈊	100		1			
所谓伊人在水之湄	𛈂𛆨𛆱𛅳𛇥𛅸𛆷𛆠	100		1			
溯洄从之道阻且跻	𛈂𛇳𛈽𛈤𛋛𛊽𛇠𛈽	100		0			
溯游从之宛在水中坻	𛈂𛊢𛈽𛈤𛈄𛇥𛅸𛈌𛈍	100		1			
蒹葭采采白露未已	𛉿𛉊𛇦𛇦𛇪𛋗𛆨𛆱	100		1			
所谓伊人在水之涘	𛈂𛆨𛆱𛅳𛇥𛅸𛈤𛊿	100		1			
溯洄从之道阻且右	𛈂𛇳𛈽𛈤𛋛𛊽𛇠𛇁	100		0			
溯游从之宛在水中沚	𛈂𛊢𛈽𛈤𛈄𛇥𛅸𛈌𛆑	100		1			
求之不得寤寐思服	𛆝𛈤𛆳𛋀𛉍𛋉𛊸𛆖	101		0			
悠哉悠哉辗转反侧	𛇁𛊳𛇁𛊳𛇆𛋺𛇑𛆹	101		0			
参差荇菜左右采之	𛉾𛈟𛊁𛈠𛇍𛇁𛇦𛈤	101		1			
窈窕淑女琴瑟友之	𛊺𛉑𛊼𛆁𛊝𛈯𛈶𛈤	101		2			
参差荇菜左右芼之	𛉾𛈟𛊁𛈠𛇍𛇁𛇷𛈤	101		1			
窈窕淑女钟鼓乐之	𛊺𛉑𛊼𛆁𛈌𛇰𛋧𛈤	101		2			
富贵不能淫贫贱不能移	𛆖𛋫𛆳𛈷𛆰𛊘𛋋𛆳𛈷𛊺	104		2			
威武不能屈此之谓大丈夫	𛆨𛇯𛆳𛈷𛆩𛇠𛆷𛆨𛅻𛊪𛆔	104		2			
安得广厦千万间大庇天下寒士俱欢颜	𛊃𛋀𛊦𛋶𛆉𛈄𛆃𛅻𛇞𛆤𛅽𛊨𛆹𛋔𛊧𛈕	104		2			
风雨不动安如山	𛋆𛇯𛆳𛆒𛊃𛇄𛇏	104		2			
故天将降大任于是人也必先苦其心志	𛉘𛆤𛈼𛈼𛅻𛊉𛆱𛆹𛅳𛇁𛉎𛇚𛇰𛊻𛇹𛊝	105		0			
劳其筋骨饿其体肤	𛈰𛊻𛆭𛆐𛊃𛊻𛋒𛆔	105		0			
空乏其身行拂乱其所为	𛉲𛆐𛊻𛈛𛇐𛇮𛋈𛊻𛈂𛊄	105		0			
所以动心忍性曾益其所不能	𛈂𛆱𛆒𛇹𛅺𛉾𛋳𛇩𛊻𛈂𛆳𛈷	105		1			
虽有嘉肴弗食不知其旨也	𛉅𛈶𛈅𛊺𛆖𛊼𛆳𛆍𛊻𛆑𛇁	106		1			
虽有至道弗学不知其善也	𛉅𛈶𛊝𛋛𛆖𛉬𛆳𛆍𛊻𛋌𛇁	106		1			
是故学然后知不足教然后知困	𛆹𛉘𛉬𛈔𛇌𛆍𛆳𛇭𛆝𛈔𛇌𛆍𛋫	106		1			
知不足然后能自反也	𛆍𛆳𛇭𛈔𛇌𛈷𛈤𛇑𛇁	106		2			
知困然后能自强也	𛆍𛋫𛈔𛇌𛈷𛈤𛊻𛇁	106		2			
故日教学相长也	𛉘𛇈𛆝𛉬𛉵𛇗𛇁	106		2			
风声雨声读书声声声入耳	𛋆𛉂𛇯𛉂𛋥𛈬𛉂𛉂𛉂𛅱𛅺	107		1			
国事家事天下事事事关心	𛈅𛅵𛉊𛅵𛆤𛅽𛅵𛅵𛅵𛇕𛇹	107		1			
事能知足心常乐	𛅵𛈷𛆍𛇭𛇺𛈾𛋧	108		2			
人到无求品自高	𛅳𛇼𛇯𛆝𛉞𛈤𛋂	108		2			
不飞则己一飞冲天	𛆳𛆌𛈤𛆺𛆼𛆌𛉣𛆤	108		2			
不鸣则己一鸣惊人	𛆳𛇾𛈤𛆺𛆼𛇾𛋭𛅳	108		2			
博学之审问之慎思之	𛉖𛉬𛈤𛈛𛋆𛈤𛉍𛊸𛈤	109		1			
明辨之笃行之	𛇾𛆦𛈤𛅼𛇐𛈤	109		2			
宝剑锋从磨砺出	𛉎𛇝𛆠𛋳𛇀𛇟𛈚	110		2			
梅花香白苦寒来	𛊬𛈣𛉶𛇪𛇰𛊨𛇤	110		2			
非淡泊无以明志	𛆌𛋠𛉖𛇯𛆱𛇾𛊝	111		2			
非宁静无以致远	𛆌𛉀𛉽𛇯𛆱𛊝𛋟	111		2			
路曼曼其修远兮	𛋗𛉟𛉟𛊻𛉪𛋟𛆩	111		1			
吾将上下而求索	𛇯𛈼𛆈𛅽𛇈𛆝𛈂	111		1			
执子之手与子偕老	𛊐𛆑𛆷𛆞𛆱𛆑𛈩𛇽	112		2			
少年易老学难成	𛆿𛆥𛆱𛇼𛉬𛈷𛈒	112		0			
一寸光阴不可轻	𛆼𛆄𛇕𛆱𛆳𛆄𛊯	112		1			
投我以木桃报之以琼瑶	𛇊𛈻𛆱𛇀𛊤𛇣𛆷𛆱𛊝𛊺	113		2			
高山仰止景行行止	𛋂𛇏𛉯𛅹𛇆𛇐𛇐𛅹	113		2			
万事如意一帆风顺	𛈄𛅵𛇄𛆱𛆼𛊘𛋆𛊍	114		2			
琴瑟在御莫不静好	𛊝𛈯𛇥𛇄𛋖𛆳𛉽𛇉	115		2			
伯牙善鼓琴钟子期善听	𛇫𛊢𛋌𛇰𛊝𛈌𛆑𛊻𛋌𛇜	115		2			
伯牙鼓琴志在高山	𛇫𛊢𛇰𛊝𛊝𛇥𛋂𛇏	115		2			
钟子期曰善哉峨峨兮若泰山	𛈌𛆑𛊻𛆴𛋌𛇝𛊢𛊢𛊼𛇁𛆎𛇏	115		2			
志在流水善哉洋洋兮若江河	𛊝𛇥𛇋𛅸𛋌𛇝𛈿𛈿𛊼𛇁𛈌𛊕	115		2			
水陆草木之花可爱者甚蕃	𛅸𛋗𛉤𛇀𛈤𛈣𛆄𛋨𛈖𛋐𛆠	116		2			
晋陶渊明独爱菊	𛈁𛊤𛋟𛇾𛋥𛋨𛊐	116		2			
自李唐来世人甚爱牡丹	𛈤𛉄𛊤𛇤𛆓𛅳𛋐𛋨𛇀𛈁	116		2			
予独爱莲之出淤泥而不染	𛇄𛋥𛋨𛉹𛈤𛈚𛆱𛈥𛇈𛆳𛆱	116		2			
濯清涟而不妖	𛆃𛊭𛉹𛇈𛆳𛆱	116		2			
中通外直不蔓不枝	𛈌𛉭𛇒𛋔𛆳𛈚𛆳𛈤	116		2			
香远益清亭亭净植	𛉶𛋟𛇩𛊭𛊭𛊭𛉽𛉓	116		2			
可远观而不可亵玩焉	𛆄𛋟𛇕𛇈𛆳𛆄𛊗𛉝𛊂	116		1			
予谓菊花之隐逸者也	𛇄𛆨𛊐𛈣𛈤𛋡𛋤𛈖𛇁	116		2			
牡丹花之富贵者也	𛇀𛈁𛈣𛈤𛆖𛋫𛈖𛇁	116		2			
莲花之君子者也	𛉹𛈣𛈤𛊵𛆑𛈖𛇁	116		1			
噫菊之爱陶后鲜有闻	𛆱𛊐𛈤𛋨𛊤𛇌𛇚𛈶𛇷	116		1			
莲之爱同予者何人	𛉹𛈤𛋨𛊤𛇄𛈖𛇮𛅳	116		1			
牡丹之爱宜乎众矣	𛇀𛈁𛈤𛋨𛅺𛇰𛊪𛆼	116		1			
君子以文会友	𛊵𛆑𛆱𛆂𛋶𛈶	118		1			
学而不思则罔思而不学则殆	𛉬𛇈𛆳𛊸𛈤𛋪𛊸𛇈𛆳𛉬𛈤𛅻	118		1			
鱼我所欲也熊掌亦我所欲也	𛊢𛈻𛈂𛇁𛇁𛈾𛇗𛇁𛈻𛈂𛇁𛇁	119		2			
二者不可得兼舍鱼而取熊掌者也	𛅱𛈖𛆳𛆄𛋀𛉿𛉝𛊢𛇈𛉛𛈾𛇗𛈖𛇁	119		1			
生亦我所欲也义亦我所欲也	𛇏𛇁𛈻𛈂𛇁𛇁𛅺𛇁𛈻𛈂𛇁𛇁	119		0			
二者不可得兼舍生而取义者也	𛅱𛈖𛆳𛆄𛋀𛉿𛉝𛇏𛇈𛉛𛅺𛈖𛇁	119		1			
有朋自远方来不亦乐乎	𛈶𛊘𛈤𛋟𛆠𛇤𛆳𛇁𛋧𛇰	120		0			
君子成人之美	𛊵𛆑𛈒𛅳𛆷𛋪	120		2			
温故知新知者乐水	𛆙𛇰𛆍𛊛𛇟𛈖𛋧𛅸	121		2			
仁者乐山知者动	𛅳𛈖𛋧𛇏𛇟𛈖𛆒	121		2			
仁者静知者乐仁者寿	𛅳𛈖𛉽𛇟𛈖𛋧𛅳𛈖𛉬	121		1			
敏而好学不耻下问	𛋉𛇈𛆚𛉬𛆳𛆸𛅽𛋆	122		2			
见贤思齐见不贤而内自省也	𛇝𛊁𛊸𛉑𛇝𛆳𛊁𛇈𛆫𛈤𛊜𛇁	122		2			
士不可以不弘毅任重而道远	𛆹𛆳𛆄𛆱𛆳𛉢𛅺𛊉𛊻𛇈𛋛𛋟	123		2			
博学于文约之以礼	𛉖𛉬𛆱𛆂𛆴𛆷𛆱𛅹	123		2			
不积跬步无以至千里	𛆳𛊈𛊵𛉖𛇯𛆱𛊝𛆉𛉄	124		2			
不积小流无以成江海	𛆳𛊈𛅿𛇋𛇯𛆱𛈒𛈌𛉝	124		2			
岁寒然后知松柏之后凋也	𛊮𛊨𛋋𛇌𛆍𛉵𛇫𛆷𛇌𛆍𛇁	124		2			
千里之行始于足下	𛆉𛉄𛆷𛇐𛇴𛆱𛇭𛅽	125		2			
无冥冥之志者无昭昭之明	𛇯𛇾𛇾𛆷𛊝𛈖𛇯𛋔𛋔𛆷𛇾	125		2			
无惛惛之事者无赫赫之功	𛇯𛆙𛆙𛆷𛅵𛈖𛇯𛆙𛆙𛆷𛇕	125		1			
精诚所至金石为开	𛉽𛈒𛈂𛊝𛆭𛊍𛊄𛇶	126		1			
道可道非常道	𛋛𛆄𛋛𛆌𛈾𛋛	126		2			
名可名非常名	𛇾𛆄𛇾𛆌𛈾𛇾	126		2			
知人者智自知者明	𛆍𛅳𛈖𛊝𛈤𛆍𛈖𛇾	127		2			
言必信行必果	𛈔𛉎𛉡𛇐𛉎𛇰	127		2			
学⽽时习之不亦说乎	𛉬𛇈𛆸𛆓𛆷𛆳𛇁𛋶𛇰	128		2			
有朋自远方来不亦乐乎	𛈶𛊘𛈤𛋟𛆠𛇤𛆳𛇁𛋧𛇰	128		2			
人不知而不愠不亦君子乎	𛅳𛆳𛆍𛇈𛆳𛇩𛆳𛇁𛊵𛆑𛇰	128		2			
吾日三省吾身	𛇯𛇈𛆊𛊜𛇯𛈛	129		2			
为人谋而不忠乎	𛊄𛅳𛉟𛇈𛆳𛈌𛇰	129		2			
与朋友交而不信乎	𛇄𛊘𛈶𛆝𛇈𛆳𛉡𛇰	129		1			
上善若水	𛆈𛋌𛇁𛅸	134		1			
钟山风雨起苍黄	𛈌𛇏𛋆𛇯𛆻𛉱𛊨	136		1			
百万雄师过大江	𛇫𛈄𛈾𛊸𛉘𛅻𛈌	136		1			
虎踞龙盘今胜昔	𛇰𛆻𛉴𛋅𛆭𛋐𛊈	136		2			
天翻地覆慨而慷	𛆤𛆠𛊤𛋷𛊙𛇈𛉲	136		2			
宜将剩勇追穷寇	𛅺𛈼𛋐𛈈𛊋𛊝𛆄	136		2			
不可沽名学霸王	𛆳𛆄𛇰𛇾𛉬𛇲𛆧	136		2			
传天若有情天亦老	𛈆𛆤𛇁𛈶𛊭𛆤𛇁𛇼	136		2			
人间正道是沧桑	𛅳𛆃𛇆𛋛𛆹𛇴𛈊	136		2			
山快马加鞭未下鞍	𛇏𛇨𛇀𛉊𛇙𛆨𛅽𛊃	137		2			
惊回首离天三尺三	𛇆𛇳𛆞𛊎𛆤𛆊𛅼𛆊	137		2			
山倒海翻江卷巨澜	𛇏𛇼𛉝𛆌𛈌𛉉𛇭𛊎	137		2			
奔腾急万马战犹酣	𛋆𛆒𛊐𛈄𛇀𛊪𛊢𛈪	137		2			
山刺破青天锷未残	𛇏𛇠𛉖𛊭𛆤𛈌𛆨𛉒	137		2			
天欲堕赖以拄其间	𛆤𛇁𛅻𛉘𛆱𛇭𛊻𛆃	137		2			
挥手从兹去	𛆌𛆞𛋳𛈤𛇂	139		2			
更那堪凄然相向	𛋫𛇾𛉲𛋴𛈔𛉵𛆈	139		1			
苦情重诉	𛇰𛊭𛊻𛉅	139		0			
眼角眉梢都似恨	𛋵𛉫𛇓𛈨𛋗𛊝𛊲	139		0			
热泪欲零还住	𛈥𛇟𛇁𛉀𛇐𛇭	139		0			
知误会前番书语	𛆍𛊃𛋶𛋋𛆠𛈬𛅺	139		0			
过眼滔滔云共雾	𛉘𛋵𛋃𛋃𛉍𛈌𛉍	139		0			
算人间知己吾和汝	𛆢𛅳𛆃𛆍𛆺𛇯𛇯𛋆	139		0			
记得当年草上飞	𛉓𛋀𛉰𛆥𛉤𛆈𛆌	140		1			
红军队里每相违	𛉢𛊵𛆬𛉄𛉟𛉵𛊄	140		2			
长征不是难堪日	𛈽𛆭𛆳𛆹𛈷𛉲𛇈	140		1			
战锦方为大问题	𛊪𛆻𛆠𛊄𛅻𛋆𛊹	140		1			
斥鷃每闻欺大鸟	𛆸𛊂𛉟𛇷𛊼𛅻𛋒	140		2			
昆鸡长笑老鹰非	𛋙𛋔𛈽𛅿𛇼𛈡𛆌	140		2			
君今不幸离人世	𛊵𛆭𛆳𛇐𛊎𛅳𛆓	140		2			
国有疑难可问谁	𛈅𛈶𛅺𛈷𛆄𛋆𛉅	140		2			
我失骄杨君失柳	𛈻𛊼𛆝𛈿𛊵𛊼𛇋	141		0			
杨柳轻飏直上重霄九	𛈿𛇋𛊯𛈿𛋔𛆈𛊪𛇮𛆆	141		0			
问讯吴刚何所有	𛋆𛉡𛊢𛇕𛇮𛈂𛈶	141		1			
吴刚捧出桂花酒	𛊢𛇕𛊘𛈚𛋫𛈣𛆆	141		1			
寂寞嫦娥舒广袖	𛋔𛇀𛈾𛊢𛈬𛊦𛉋	141		0			
万里长空且为忠魂舞	𛈄𛉄𛈽𛉲𛇠𛊄𛈌𛆙𛇯	141		2			
忽报人间曾伏虎	𛋷𛇣𛅳𛆃𛋳𛆖𛇰	141		2			
泪飞顿作倾盆雨	𛇟𛆌𛆬𛈱𛊯𛊘𛇯	141		0			
红军不怕远征难	𛉢𛊵𛆳𛇲𛋟𛆭𛈷	143		2			
万水千山只等闲	𛈄𛅸𛆉𛇏𛈤𛉠𛇐	143		2			
五岭逶迤腾细浪	𛈕𛉼𛆭𛊺𛆒𛅿𛋈	143		2			
乌蒙磅礴走泥丸	𛉍𛇓𛋅𛉖𛈖𛈥𛆨	143		2			
金沙水拍云崖暖	𛆭𛊾𛅸𛇲𛉍𛊢𛈾	143		1			
大渡桥横铁索寒	𛅻𛋥𛊻𛊄𛉐𛈂𛊨	143		0			
更喜岷山千里雪	𛋫𛆻𛉋𛇏𛆉𛉄𛊗	143		2			
三军过后尽开颜	𛆊𛊵𛉘𛇌𛈯𛇶𛈕	143		2			
九嶷山上白云飞	𛆆𛅺𛇏𛆈𛇪𛉍𛆌	144		1			
帝子乘风下翠微	𛅹𛆑𛋙𛋆𛅽𛇂𛊄	144		1			
斑竹一枝千滴泪	𛊰𛊶𛆼𛈤𛆉𛆒𛇟	144		0			
红霞万朵百重衣	𛉢𛉡𛈄𛉸𛇫𛊻𛈡	144		1			
洞庭波涌连天雪	𛆒𛊭𛉖𛈍𛉹𛆤𛊗	144		1			
长岛人歌动地诗	𛈽𛇼𛅳𛋸𛆒𛊤𛊸	144		2			
我欲因之梦寥廓	𛈻𛇁𛆱𛆷𛋪𛅾𛋸	144		2			
芙蓉国里尽朝晖	𛇮𛈿𛈅𛉄𛈯𛅾𛆌	144		2			
人生易老天难老	𛅳𛇏𛆱𛇼𛆤𛈷𛇼	145		1			
岁岁重阳今又重阳	𛊮𛊮𛊻𛈿𛆭𛇁𛊻𛈿	145		1			
战地黄花分外香	𛊪𛊤𛊨𛈣𛆙𛇒𛉶	145		2			
一年一度秋风劲	𛆼𛆥𛆼𛋥𛉩𛋆𛇝	145		1			
不似春光胜似春光	𛆳𛊝𛊌𛇕𛋐𛊝𛊌𛇕	145		2			
寥廓江天万里霜	𛅾𛋸𛈌𛆤𛈄𛉄𛈊	145		1			
天高云淡望断南飞雁	𛆤𛋂𛉍𛋠𛈈𛋇𛉺𛆌𛊂	146		0			
不到长城非好汉	𛆳𛇼𛈽𛈒𛆌𛆚𛊧	146		2			
屈指行程二万	𛆩𛆑𛊨𛈆𛅱𛈄	146		1			
六盘山上高峰	𛆜𛋅𛇏𛆈𛋂𛆠	146		1			
红旗漫卷西风	𛉢𛊻𛇓𛉉𛈨𛋆	146		2			
今日长缨在手	𛆭𛇈𛈽𛊫𛇥𛆞	146		1			
何时缚住苍龙	𛇮𛆸𛆖𛇭𛉱𛉴	146		2			
赤橙黄绿青蓝紫	𛇎𛋳𛊨𛆽𛊭𛋂𛆑	147		1			
谁持彩练当空舞	𛉅𛋣𛉝𛈏𛉰𛉲𛇯	147		1			
雨后复斜阳关山阵阵苍	𛇯𛇌𛋷𛊝𛈿𛈘𛇏𛋮𛋮𛉱	147		1			
当年鏖战急弹洞前村壁	𛉰𛆥𛇿𛊪𛊐𛉻𛆒𛋋𛊌𛉎	147		0			
装点此关山今朝更好看	𛈉𛉸𛇠𛈘𛇏𛆭𛅾𛋫𛆚𛆣	147		2			
风雨送春归飞雪迎春到	𛋆𛇯𛉡𛊌𛈘𛆌𛊗𛋍𛊌𛇼	148		2			
已是悬崖百丈冰犹有花枝俏	𛆱𛆹𛈒𛊢𛇫𛊪𛋆𛊢𛈶𛈣𛈤𛆞	148		2			
俏也不争春只把春来报	𛆞𛇁𛆳𛋩𛊌𛈤𛊷𛊌𛇤𛇣	148		2			
待到山花烂漫时她在丛中笑	𛅻𛇼𛇏𛈣𛋈𛇓𛆸𛆒𛇥𛋳𛈌𛅿	148		2			
大雨落幽燕白浪滔天	𛅻𛇯𛋝𛇁𛊂𛇪𛋈𛋃𛆤	149		1			
秦皇岛外打鱼船	𛉒𛊨𛇼𛇒𛋆𛊢𛈒	149		1			
一片汪洋都不见知向谁边	𛆼𛇙𛈈𛈿𛋗𛆳𛇝𛆍𛆈𛉅𛇙	149		1			
往事越千年魏武挥鞭	𛋟𛅵𛋒𛆉𛆥𛆨𛇯𛆌𛇙	149		1			
东临碣石有遗篇	𛊚𛇇𛋓𛊍𛈶𛆱𛈐	149		1			
萧瑟秋风今又是换了人间	𛇮𛈯𛉩𛋆𛆭𛇁𛆹𛊧𛅹𛅳𛆃	149		2			
东方欲晓莫道君行早	𛊚𛆠𛇁𛆿𛇀𛋛𛊵𛇐𛈖	151		2			
踏遍青山人未老	𛋥𛇙𛊭𛇏𛅳𛆨𛇼	151		2			
风景这边独好	𛆠𛇆𛋔𛇙𛋥𛆚	151		2			
会昌城外高峰	𛋶𛈾𛈒𛇒𛋂𛆠	151		1			
颠连直接东溟	𛋊𛉹𛋔𛋓𛊚𛇾	151		1			
战士指看南粤	𛊪𛆹𛆑𛆣𛉺𛇩	151		1			
更加郁郁葱葱	𛋫𛉊𛋍𛋍𛋴𛋴	151		2			
子在川上曰逝者如斯夫	𛆑𛇥𛊯𛆈𛆴𛆓𛈖𛇄𛊸𛆔	152		0			
一桥飞架南北天堑变通途	𛆼𛊻𛆌𛉌𛉺𛉜𛆤𛆉𛆦𛉭𛋥	152		2			
更立西江石壁	𛋫𛇟𛈨𛈌𛊍𛉎	152		1			
截断巫山云雨高峡出平湖	𛋓𛋇𛉍𛇏𛉍𛇯𛋂𛊗𛈚𛆦𛋘	152		2			
神女应无恙当惊世界殊	𛋙𛆁𛊉𛇯𛈌𛉰𛋭𛆓𛆄𛋙	152		2			
才饮长沙水又食武昌鱼	𛆏𛋡𛈽𛊾𛅸𛇁𛊼𛇯𛈾𛊢	153		1			
万里长江横渡极目楚天舒	𛈄𛉄𛈽𛈌𛊄𛋥𛋔𛇀𛉤𛆤𛈬	153		2			
不管风吹浪打胜似闲庭信步	𛆳𛊦𛋆𛆪𛋈𛋆𛋐𛊝𛇐𛊭𛉡𛉖	153		2			
今日得宽馀	𛆭𛇈𛋀𛉲𛇄	153		2			
壁上红旗飘落照西风漫卷孤城	𛉎𛆈𛉢𛊻𛅶𛋝𛉓𛈨𛋆𛇓𛉉𛋰𛈒	154		2			
保安人物一时新	𛉎𛊃𛅳𛇵𛆼𛆸𛊛	154		1			
洞中开宴会招待出牢人	𛆒𛈌𛇶𛊂𛋶𛋔𛅻𛈚𛈰𛅳	154		2			
纤笔一枝谁与似	𛆉𛇞𛆼𛈤𛉅𛆱𛊝	154		2			
三千毛瑟精兵	𛆊𛆉𛇷𛈯𛉽𛈐	154		2			
阵图开向陇山东	𛋮𛋥𛇶𛆈𛉒𛇏𛊚	154		1			
昨天文小姐今日武将军	𛈱𛆤𛆂𛅿𛈖𛆭𛇈𛇯𛈼𛊵	154		2			
三上北高峰杭州一望空	𛆊𛆈𛉜𛋂𛆠𛊨𛆝𛆼𛈈𛉲	155		1			
飞凤亭边树桃花岭上风	𛆌𛋹𛊭𛇙𛋙𛊤𛈣𛉼𛆈𛋆	155		2			
热来寻扇子冷去对美人	𛈥𛇤𛋳𛋌𛆑𛉼𛇂𛆬𛋪𛅳	155		2			
一片飘飘下欢迎有晚莺	𛆼𛇙𛅶𛅶𛅽𛊧𛋍𛈶𛆨𛆰	155		2			
一下二三里青村四五家	𛅰𛅽𛅱𛆊𛉄𛊭𛊌𛈗𛈕𛉊	159		1			
楼台六七座八九十枝花	𛈰𛅻𛆜𛅲𛈱𛅴𛆆𛆹𛈤𛈣	159		1			
锄禾日当午汗滴禾下土	𛉗𛇯𛇈𛉰𛈕𛊧𛆒𛇯𛅽𛊔	160		1			
安知盘中餐粒粒皆辛苦	𛊃𛇟𛋅𛈌𛉱𛆍𛆍𛇧𛇹𛇰	160		1			
床前明月光门下白地霜	𛈉𛋋𛇾𛇃𛇕𛇷𛅽𛇪𛋇𛈊	161		1			
夜起望明月低头思故乡	𛇩𛆻𛈈𛇾𛇃𛅾𛇊𛊸𛉘𛉶	161		0			
人家杀猪羊曲预向天歌	𛅳𛉊𛇦𛆽𛈿𛆶𛇃𛆈𛆤𛋰	162		2			
白毛浮绿水红掌青叶子	𛇪𛇷𛊘𛆽𛅸𛉢𛇗𛊭𛆱𛆑	162		2			
一年之计在与春一日之计在于晨	𛆼𛆥𛈤𛉓𛇥𛆱𛊌𛆼𛇈𛈤𛉓𛇥𛆱𛋙	164		2			
一家之计在与和一生之计在于勤	𛆼𛉊𛈤𛉓𛇥𛆱𛇮𛆼𛇏𛈤𛉓𛇥𛆱𛊝	164		2			
责人之心责己恕己之心恕人	𛋓𛅳𛈤𛇹𛋓𛆺𛆴𛆺𛈤𛇹𛆴𛅳	164		2			
守口如瓶防御如城	𛆞𛇉𛇄𛇛𛋅𛆱𛇄𛈒	164		1			
宁可负我切莫负人	𛉼𛆄𛆖𛈻𛈦𛉟𛆖𛅳	164		2			
再三须重视第一莫欺心	𛇥𛆊𛈬𛊻𛆹𛆒𛆼𛉟𛇂𛊛	164		0			
虎生犹可近人熟不堪亲	𛇰𛇏𛊢𛆄𛊝𛅳𛉬𛆳𛉲𛋴	164		0			
来说是非者便是是非人	𛇤𛋶𛆹𛆌𛆆𛇙𛆹𛅵𛆌𛅳	164		1			
远水难救近火远亲不如近邻	𛋟𛅸𛈷𛆝𛊝𛆕𛋟𛋴𛆳𛇄𛊝𛇇	164		1			
风流何用穿衣多	𛆠𛇋𛇮𛈍𛊯𛆱𛈁	164		1			
光阴似箭日月如梭	𛇕𛆱𛊝𛋋𛇈𛇃𛇄𛇏	164		1			
天时不如地利地利不如人和	𛆤𛆸𛆳𛇄𛊤𛇟𛊤𛆍𛆳𛇄𛅳𛇯	164		2			
黄金不为贵安福值钱多	𛊨𛆭𛆳𛊄𛋫𛊃𛆖𛋔𛋋𛈁	164		2			
世上万般皆下品思量惟有读书高	𛆓𛆈𛆨𛈺𛉌𛅽𛉞𛊸𛉴𛊄𛈶𛋥𛈬𛋂	164		2			
世间好语书说尽天下名山僧占多	𛆓𛆃𛆚𛅺𛈬𛋶𛈯𛆤𛅽𛇾𛇏𛉓𛉿𛈁	164		1			
为善最富作恶难逃	𛆨𛋌𛊶𛆖𛈱𛉦𛈷𛊤	165		2			
羊有跪乳之恩	𛈿𛈶𛋫𛇄𛆷𛊸	165		2			
有田不耕疏空归有书不读子孙愚疏	𛈶𛋊𛆳𛆃𛊾𛉲𛈘𛈶𛈬𛆳𛋥𛆑𛊍𛇄𛊾	165		0			
同君一夜话胜读十年书	𛊤𛊵𛆼𛇩𛋶𛋐𛋥𛅵𛆥𛈬	165		2			
人不通古今马牛如襟	𛅳𛆳𛆤𛇰𛆭𛇀𛊞𛇄𛆭	165		0			
茫茫四海人无数哪个男儿是丈夫	𛇓𛇓𛈗𛉝𛅳𛇯𛉅𛈏𛆅𛉺𛇈𛆹𛊪𛆔	165		1			
杯酒醉成起好客黄金散尽为收书	𛇲𛊟𛆍𛈒𛆻𛆚𛊙𛊨𛆭𛈗𛉑𛊄𛈀𛈬	165		2			
救人一命胜造七级浮屠	𛆝𛅳𛆼𛈑𛋐𛊪𛅲𛊐𛊘𛋥	165		0			
城门失火殃及池鱼	𛈒𛇷𛊼𛆕𛇔𛋔𛋣𛊢	165		0			
庭前生瑞草好事不如无	𛊭𛋋𛇏𛈢𛉤𛆚𛅵𛆳𛇄𛇯	165		2			
欲求生富贵须下死功夫	𛉚𛆝𛇏𛆖𛋫𛈬𛅽𛊅𛆃𛆔	165		2			
